"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian","Message Type","Message Group",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption1","","Player","He's good. You'd better be on top form.","PSG_10000139","","","","","","","Quel talent. Vous avez intérêt à tout donner.","Se la cava più che bene, dovrai essere al tuo meglio.","Er ist gut. Du musst top in Form sein.","Está volando. Más vale que estés a tope.","Ele é bom. É melhor você estar em sua melhor forma.","Hij is goed. Je kunt maar beter in topvorm zijn.","Ő jó. Jobb lenne, ha a csúcsformádat hoznád.","Dobry jest. Przygotuj się porządnie.","Да, он хорош. Так что и тебе надо быть на пике формы.","Conversation","NervousAboutDriverOption1",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption1","","Player","You've gotta bring your A-game.","PSG_10000144","","","","","","","Vous allez devoir vous surpasser.","Dovrai dare il massimo.","Du musst alles geben.","Debes dar lo mejor de ti.","Você tem que fazer seu melhor na corrida.","Je moet alles geven.","Ász teljesítményt kell nyújtanod.","Zrób wszystko, co w twojej mocy.","Выложись на треке на всю.","Conversation","NervousAboutDriverOption1",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption1Response","","AnyDriver","Great, that makes me feel much worse...","PSG_10000140","","","","","","","Génial, ça me rassure beaucoup...","Ottimo, adesso mi sento ancora peggio...","Super, jetzt fühle ich mich noch schlechter ...","Genial, eso me hace sentir mucho peor...","Ótimo, isso me faz sentir muito pior...","Geweldig. Nou voel ik me nog slechter...","Szuper, ettől sokkal rosszabbul érzem magam...","Świetnie, teraz czuję się jeszcze gorzej...","Ну вот, мне теперь еще тяжелей на душе стало...","Conversation","NervousAboutDriverOption1Response",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption1Response","","AnyDriver","(Sigh)... Okay. I'll try to do my best, I guess.","PSG_10000146","","","","","","","*soupir* D'accord, je tâcherai de faire de mon mieux...","*Sospiro*... OK. Proverò a fare del mio meglio.","(Seufz) ... Ok. Ich werde versuchen, mein Bestes zu geben.","En fin... Vale. Lo haré lo mejor que pueda, supongo.","(Suspiro)... Ok. Eu vou tentar meu melhor, acho.","(Zucht)... Oké. Dan zal ik mijn best maar doen.","(Sóhaj)... Oké, megteszek minden tőlem telhetőt, azt hiszem.","Ech... Dobra. Postaram się.","(вздыхает) Хорошо. Постараюсь сделать все, что могу.","Conversation","NervousAboutDriverOption1Response",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption2","","Player","Hey, I know you're a better driver than he is.","PSG_10000132","","","","","","","Mais non, je sais que vous valez mieux.","Ehi, so che tu sei un pilota migliore.","Hey, ich weiß, dass du mehr Talent hast.","Eh, sé que tú pilotas mucho mejor.","Ei, eu sei que você corre melhor que ele.","Hé, ik weet dat jij beter rijdt dan hij.","Hé, én tudom, hogy te jobb pilóta vagy nála.","Wiem, że jeździsz lepiej od niego.","Брось. Я же знаю, что ты гоняешь лучше.","Conversation","NervousAboutDriverOption2",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption2","","Player","I know that you have the skills to beat him.","PSG_10000149","","","","","","","Je sais que vous êtes capable de faire mieux.","So che hai le carte in regola per vincere.","Ich weiß, dass du besser fahren kannst.","Sé que tienes talento para superarle.","Eu sei que você tem a habilidade para vencer.","Ik weet dat jij het in je hebt om hem te verslaan.","Tudom, hogy megvannak a képességeid, hogy lenyomd.","Dasz radę go pokonać.","Я знаю, что ты можешь его одолеть.","Conversation","NervousAboutDriverOption2",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption2Response","","AnyDriver","Hmm, when you put it like that... thanks, boss!","PSG_10000150","","","","","","","Hmm, vu comme ça... Merci de votre confiance !","Beh, se la metti così... Grazie!","Hmm, wenn Sie das so sagen ... Danke!","Mmm, si lo miramos de esa forma... ¡Gracias!","Bom, pensando assim... valeu, chefe!","Hmm, als je het zo zegt... dank je wel, baas!","Hmm, ahogy így mondod... kösz, főnök!","Skoro tak mówisz... dzięki!","Хм, ну, раз вы в этом уверены... спасибо, босс!","Conversation","NervousAboutDriverOption2Response",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption2Response","","AnyDriver","You think so? Thanks boss. That means a lot.","PSG_10000147","","","","","","","Vous le pensez vraiment ? Merci, ça me touche beaucoup.","Lo credi davvero? Grazie. Apprezzo molto.","Meinen Sie? Danke. Das bedeutet mir viel.","¿Eso crees? Gracias. Eso significa mucho para mí.","Você acha mesmo? Valeu, chefe. Isso significa muito.","Denk je? Dank je wel, baas. Dat betekent veel voor me.","Úgy gondolod? Kösz, főnök. Ez sokat jelent nekem.","Tak myślisz? Dzięki. To wiele dla mnie znaczy.","Вы так думаете? Спасибо, босс. Это много для меня значит.","Conversation","NervousAboutDriverOption2Response",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption3","","Player","Just try to forget about him.","PSG_10000141","","","","","","","Essayez de ne pas y penser.","Cerca di non pensarci.","Versuch einfach, nicht daran zu denken.","Tú no te preocupes de los demás.","Não fique pensando nele.","Probeer hem gewoon te vergeten.","Egyszerűen próbálj meg ne gondolni rá!","Spróbuj o nim zapomnieć.","Забудь о нем, да и все.","Conversation","NervousAboutDriverOption3",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption3","","Player","You've just got to race your own race.","PSG_10000145","","","","","","","Vous devez penser à votre propre course.","Pensa solo a fare la tua gara.","Du musst einfach dein eigenes Rennen fahren.","Tú dedícate a hacer tu carrera.","Você tem que correr sua própria corrida.","Je moet gewoon je eigen race rijden.","Neked a saját versenyedet kell vívnod. ","Ścigasz się tylko ze sobą.","Просто веди свою гонку.","Conversation","NervousAboutDriverOption3",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption3Response","","AnyDriver","Um... I'm not really sure how I can do that with him out there, but okay...","PSG_10000142","","","","","","","Euh... Ça risque d'être difficile vu que c'est mon adversaire, mais bon...","<gender^Subject=F>
Uhm... Non so bene come fare se c'è anche lei, ma va bene...
</gender>
<gender^Subject=M>
Uhm... Non so bene come fare se c'è anche lui, ma va bene...
</gender>
","Öm ... Das ist leichter gesagt als getan, aber gut ...","Mmm... No sé cómo voy a conseguirlo con el coche que lleva, pero bueno...","Hm... Não sei bem o que posso fazer com ele por aí, mas ok.","Ehm... Ik weet niet zeker hoe ik dat moet doen met hem in de buurt, maar goed...","Öö…nem igazán tudom, hogy erre mennyire leszek képes, úgy, hogy ő is ott van kint, de jó…","Hmm... Nie wiem, jak mam to zrobić, skoro on tam będzie, ale OK...","Э... Не знаю, как это сделать, когда на треке он, но ладно...","Conversation","NervousAboutDriverOption3Response",""
"Race Intro - Pre-Race Talk","NervousAboutDriverOption3Response","","AnyDriver","Erm, I still have to race him, boss. That's not exactly helpful.","PSG_10000151","","","","","","","Vu que c'est mon adversaire, ça ne m'aide pas vraiment.","<gender^Subject=F>
Ehm, devo comunque affrontarla. Non mi sei di grande aiuto.
</gender>
<gender^Subject=M>
Ehm, devo comunque affrontarlo. Non mi sei di grande aiuto.
</gender>","Öm, ich fahre das Rennen aber nun einmal nicht allein ...","Mmm, pero sigo teniendo que enfrentarme con pilotos así. Eso no ayuda mucho.","Erm, eu ainda tenho que correr contra ele, chefe. Isso não é muito útil.","Ehm, ik moet nog steeds tegen hem racen, baas. Dat helpt niet echt.","Izé, attól még mindig vele kell versenyeznem, főnök. Ez nem sokat segít.","Z nim też muszę. Kiepska ta rada...","Кхм. Босс, он-то все равно никуда не денется. Не очень вы мне помогли.","Conversation","NervousAboutDriverOption3Response",""
"Race Intro - Pre-Race Talk","ExtremelyNervousIntro","","AnyDriver","({Driver} looks slightly green, like he's about to vomit...)","PSG_10000134","","","","","","","({Driver} a le teint un peu vert, c'est pas bon signe...)","({Driver} ha una pessima cera, starà per vomitare?)","({Driver} ist leicht grün im Gesicht, das sieht nicht gut aus ...)","({Driver} está un poco verde, parece a punto de vomitar...)","({Driver} parece estar um pouco verde, como se fosse vomitar...)","({Driver} ziet een beetje pips. Volgens mij moet hij kotsen...)","({Driver} képe mintha kicsit zöld lenne, mint aki mindjárt elhányja magát...)","({Driver} zielenieje na twarzy; chyba będzie wymiotować...)","({Driver} позеленел лицом, будто его вот-вот вырвет...)","","",""
"Race Intro - Pre-Race Talk","ExtremelyNervousOption1","","Player","Calm down... it'll be fine. ","PSG_10000137","","","","","","","Du calme... Tout va bien se passer. ","Calmati... Andrà tutto bene. ","Beruhige dich ... Das wird schon. ","Cálmate... Lo harás bien. ","Se acalma... vai ficar tudo bem. ","Rustig... alles komt goed. ","Csak nyugalom… minden rendben lesz.","Spokojnie... wszystko się uda. ","Успокойся. Все будет хорошо.","","",""
"Race Intro - Pre-Race Talk","ExtremelyNervousOption2","","Player","Pull yourself together!","PSG_10000138","","","","","","","Reprenez-vous !","Forza, riprenditi!","Reiß dich zusammen!","¡Componte!","Controle-se!","Verman jezelf!","Szedd már össze magad!","Weź się w garść!","Соберись!","","",""
"Race Intro - Pre-Race Talk","PessimisticIntro","","AnyDriver","I've got a bad feeling about this race, boss...","PSG_10001666","","","","","","","Je la sens mal, cette course...","Ho un brutto presentimento per questa gara...","Ich hab ein schlechtes Gefühl bei diesem Rennen ...","Tengo un mal presentimiento sobre esta carrera...","Tenho um mau pressentimento sobre essa corrida, chefe...","Ik heb een slecht gevoel over deze race, baas...","Rossz érzésem van a verseny kapcsán, főnök.","Mam złe przeczucia co do tego wyścigu...","У меня плохое предчувствие насчет этой гонки, босс...","Conversation","Pessimistic",""
"Race Intro - Pre-Race Talk","PessimisticIntro","","AnyDriver","We're never going to beat {RivalTeam} in this race!","PSG_10001667","","","","","","","On n'arrivera jamais à battre {RivalTeam} dans cette course, c'est impossible !","Non batteremo mai {RivalTeam} in questa gara!","In diesem Rennen werden wir {RivalTeam} niemals schlagen!","¡No vamos a superar a {RivalTeam} en esta carrera!","Nunca vamos vencer o {RivalTeam} nessa corrida!","We gaan {RivalTeam} nooit verslaan in deze race!","Sosem fogjuk megverni a(z) {RivalTeam} csapatot ezen a versenyen!","Nigdy nie uda nam się pokonać zespołu {RivalTeam}!","Команду {RivalTeam} нам в этой гонке не победить!","Conversation","Pessimistic",""
"Race Intro - Pre-Race Talk","PessimisticAboutStartPositionIntro","","AnyDriver","I'm not happy about starting in this position, boss. We should have done better yesterday.","PSG_10000281","","","","","","","On a vu mieux, comme position de départ. On aurait dû mieux se débrouiller hier.","Non sono felice di partire in questa posizione. Avremmo dovuto fare meglio ieri.","Diese Startposition gefällt mir nicht. Wir hätten gestern besser fahren sollen.","No me gusta empezar en esta posición. Deberíamos haberlo hecho mejor ayer.","Não estou contente com essa posição de largada, chefe. Deveríamos ter feito melhor ontem.","Ik ben er niet blij mee dat ik in deze positie moet starten, baas. We hadden het gisteren beter moeten doen.","Nem örülök, hogy innen kell rajtolnom, főnök. Tegnap jobban kellett volna teljesítenünk.","Nie podoba mi się, że zaczynam z tej pozycji. Wczoraj mogło pójść lepiej.","Не очень мне нравится стартовать с такой позиции, босс. Надо нам было показать вчера результат лучше.","Conversation","PessimisticAboutStartPositionIntro",""
"Race Intro - Pre-Race Talk","PessimisticAboutStartPositionOption1","","Player","Well, now you need to make up for your mistakes in qualifying.","PSG_10000282","","","","","","","À vous de rattraper les erreurs que vous avez commises lors des qualifications.","Beh, ora dovrai rimediare agli errori commessi nelle qualifiche.","Tja, jetzt musst du deine Fehler aus dem Qualifying wettmachen.","Bueno, ahora te toca enmendar tus errores en la clasificación.","Bem, agora você precisa compensar pelos seus erros na classificatória.","Goed, nu je moet de fouten tijdens de kwalificatie weer goed zien te maken.","Nos, most kell helyrehoznod az időmérőn elkövetett hibáidat.","Musisz odrobić popełnione błędy w kwalifikacjach.","Ну, теперь тебе надо будет отдуваться за свои ошибки в квалификации.","Conversation","PessimisticAboutStartPositionOption1",""
"Race Intro - Pre-Race Talk","PessimisticAboutStartPositionOption1Response","","AnyDriver","Hey, this isn't all my fault. Your calls on the pitwall were hardly perfect.","PSG_10000283","","","","","","","Hé, ne me mettez pas tout sur le dos. Certaines de vos instructions au stand étaient discutables aussi.","Ehi, non è tutta colpa mia. Non è che le tue decisioni siano state perfette...","Hey, das war nicht allein meine Schuld. Ihre Ansagen an der Boxenmauer waren alles andere als perfekt.","Eh, no todo es culpa mía. Tus decisiones en el muro tampoco fueron perfectas.","Ei, isso não é minha culpa. Suas decisões no pit wall não foram perfeitas.","Hé, dit is niet allemaal mijn fout. Je beslissingen aan de pitwall waren verre van perfect.","Hé, ez egyáltalán nem az én hibám! A pitwallnál hozott utasításaid aligha voltak tökéletesek.","To nie tylko moja wina. Twoje wskazówki też nie były idealne.","Эй, я не виноват. Вы на пит-уолле не ту стратегию разработали.","Conversation","PessimisticAboutStartPositionOption1Response",""
"Race Intro - Pre-Race Talk","PessimisticAboutStartPositionOption2","","Player","Focus on the race - you can still win from here.","PSG_10000284","","","","","","","Concentrez-vous sur la course, vous pouvez toujours gagner.","Concentrati sulla gara, puoi comunque vincere.","Konzentrier dich auf das Rennen, du kannst von hier aus immer noch gewinnen.","Céntrate en la carrera. Todavía puedes ganar saliendo desde ahí.","Concentre-se na corrida, você ainda pode vencer.","Concentreer je op de race. Je kunt nog steeds winnen.","Koncentrálj a versenyre  még mindig megnyerheted innen is!","Skup się na wyścigu. Nie wszystko stracone.","Сосредоточься на гонке, шансы на победу все равно есть.","Conversation","PessimisticAboutStartPositionOption2",""
"Race Intro - Pre-Race Talk","PessimisticAboutStartPositionOption2Response","","AnyDriver","You're right. I can't let starting back here get to me... it's going to be tough, though!","PSG_10000287","","","","","","","Vous avez raison, je ne dois pas me laisser décourager... Enfin, ça ne me facilite pas la tâche !","Giusto, non devo farmi scoraggiare dalla posizione di partenza. Non sarà facile, però!","Sie haben recht. Ich darf mich von dieser Startposition nicht irritieren lassen ... Aber es wird trotzdem schwierig!","Tienes razón. No puedo permitir que eso me afecte... ¡Pero va a ser duro!","Você tem razão. Não posso me abalar por começar aqui atrás... mas vai ser difícil!","Je hebt gelijk. Ik moet me niet druk maken over mijn startpositie... maar het gaat wel zwaar worden!","Igazad van. Nem hagyhatom, hogy az utamba álljon, hogy csak innen rajtolok… viszont kemény lesz!","Masz rację. Nie mogę się tym tak przejmować... Nie będzie łatwo!","Вы правы. Нельзя опускать руки из-за такой позиции. Придется, правда, нелегко!","Conversation","PessimisticAboutStartPositionOption2Response",""
"Race Intro - Pre-Race Talk","PessimisticAboutStartPositionOption3","","Player","Yesterday was my fault. If you drive that well today, we'll be fine.","PSG_10000285","","","","","","","C'était de ma faute. Si vous conduisez aussi bien aujourd'hui, on n'a pas de souci à se faire.","Ieri è stata colpa mia. Guida allo stesso modo oggi, e ce la faremo.","Die Sache gestern war meine Schuld. Wenn du heute genau so gut fährst, kommt alles in Ordnung.","Lo de ayer fue culpa mía. Si pilotas bien hoy, todo saldrá perfecto.","Ontem foi culpa minha. Se você dirigir bem hoje, estaremos bem.","Gisteren was mijn fout. Als je vandaag zo goed rijdt, komt alles goed.","A tegnap az én hibám volt. Ha ma jól vezetsz, egyenesbe jövünk.","Wczorajsze błędy były moją winą. Pojedź dzisiaj równie dobrze, a damy radę.","Вчера ты ехал хорошо, вина тут моя. Если так же хорошо будешь ехать сегодня, то шансы есть.","Conversation","PessimisticAboutStartPositionOption3",""
"Race Intro - Pre-Race Talk","PessimisticAboutStartPositionOption3Response","","AnyDriver","That's good to hear, but make some better calls today. The championship is on the line!","PSG_10000286","","","","","","","Ça fait plaisir à entendre, mais essayez de mieux gérer aujourd'hui. C'est le titre qui est en jeu !","Buono a sapersi, ma cerca di prendere decisioni migliori stavolta. C'è il campionato in ballo!","Das höre ich gern, aber machen Sie heute bitte bessere Ansagen. Die Meisterschaft steht auf dem Spiel!","Me alegra oírlo, pero hoy debes tomar mejores decisiones. ¡El campeonato está en juego!","Fico feliz em ouvir isso, mas tome algumas decisões melhores hoje. O campeonato está em risco!","Dat is fijn om te horen, maar neem vandaag dan wel betere beslissingen. Het kampioenschap staat op het spel!","Ezt örömmel hallom, de ma jobb utasításokat várok. A bajnokság múlik rajta!","Dobrze to słyszeć, ale dziś podejmuj lepsze decyzje. Od tego zależy nasze mistrzostwo!","Рад это слышать - но вы сегодня уж постарайтесь работать лучше. На кону стоит кубок!","Conversation","PessimisticAboutStartPositionOption3Response",""
"Race Intro - Pre-Race Talk","Angry","","AnyDriver","Get out of here!","PSG_10001668","","","","","","","Fichez-moi le camp !","Fuori di qui!","Hauen Sie ab!","¡Sal de aquí!","Saia daqui!","Wegwezen!","Tűnj el innen!","Wynoś się!","Все, хватит с меня!","Conversation","Angry",""
"Race Intro - Pre-Race Talk","Angry","","AnyDriver","I can't wait to get on the track and give {driver} a kicking!","PSG_10001669","","","","","","","Vivement le départ, je vais mettre une raclée à {driver} !","Non vedo l'ora di andare in pista e dare una lezione a {driver}!","Ich kann es nicht erwarten, {driver} auf der Strecke fertigzumachen!","¡Me muero de ganas de saltar a la pista y darle una paliza a {driver}!","<gender^RandomDriver=F>
Mal posso esperar para correr e dar uma surra na {driver}!
</gender>
<gender^RandomDriver=M>
Mal posso esperar para correr e dar uma surra no {driver}!
</gender>
","Ik kan niet wachten om het circuit op te gaan en {driver} een pak slaag te geven!","Már alig várom, hogy a pályán legyek, és {driver} megkapja a magáét!","<gender^Driver=F>
Jak tylko wejdę na tor, {driver} pożałuje, że się urodziła!
</gender>
<gender^Driver=M>
Jak tylko wejdę na tor, {driver} pożałuje, że się urodził!
</gender>
","Скорей бы на трассу! Там {driver} от меня получит!","Conversation","Angry",""
"Race Intro - Pre-Race Talk","Angry","","AnyDriver","{OtherPlayerDriver:Name} has been annoying me all week!","PSG_10001670","","","","","","","{OtherPlayerDriver:Name} me tape sur les nerfs cette semaine !","È tutta la settimana che {OtherPlayerDriver:Name} mi infastidisce!","{OtherPlayerDriver:Name} ärgert mich schon die ganze Woche!","¡{OtherPlayerDriver:Name} no ha hecho más que incordiar todo el fin de semana!","{OtherPlayerDriver:Name} tem me irritado a semana inteira!","{OtherPlayerDriver:Name} zit me de hele week al dwars!","{OtherPlayerDriver:Name} egész héten bosszantott!","{OtherPlayerDriver:Name} wkurza mnie od początku tygodnia!","{OtherPlayerDriver} всю неделю меня доставал!","Conversation","Angry",""
"Race Intro - Pre-Race Talk","Angry","","AnyDriver","I just can't stand the look on {OtherPlayerDriver:Name}'s smug face... ","PSG_10001671","","","","","","","Je peux pas encadrer {OtherPlayerDriver:Name} avec son air prétentieux... ","Non sopporto l'aria spavalda che ha {OtherPlayerDriver:Name}... ","{OtherPlayerDriver:Name} guckt so süffisant ... Unerträglich! ","No soporto ver la cara que pone {OtherPlayerDriver:Name}...","<gender^OtherPlayerDriver=F>
Eu não aguento o olhar presunçoso na cara da {OtherPlayerDriver:Name}... 
</gender>
<gender^OtherPlayerDriver=M>
Eu não aguento o olhar presunçoso na cara do {OtherPlayerDriver:Name}... 
</gender>
","Ik kan die zelfvoldane kop van {OtherPlayerDriver:Name} niet uitstaan... ","Ki nem állhatom {OtherPlayerDriver:Name} önelégült képét... ","<gender^OtherPlayerDriver=F>
{OtherPlayerDriver:Name} i jej facjata przyprawiają mnie o mdłości... 
</gender>
<gender^OtherPlayerDriver=M>
{OtherPlayerDriver:Name} i jego facjata przyprawiają mnie o mdłości... 
</gender>
","{OtherPlayerDriver} меня достал уже своей наглой рожей!","Conversation","Angry",""
"Race Intro - Pre-Race Talk","AngryAboutQualifyingIntro","","AnyDriver","This is so frustrating. I could have done way better in qualifying.","PSG_10000152","","","","","","","J'ai fait n'importe quoi pendant les qualifications, je suis capable de beaucoup mieux.","È frustrante. Avrei potuto fare molto meglio nelle qualifiche.","Ist das frustrierend. Ich hätte im Qualifying viel besser sein können.","Es frustrante. Podría haber clasificado mucho mejor.","Isso é tão frustrante. Eu poderia ter me saído bem melhor nas classificatórias.","Dit is zo frustrerend. Ik had het veel beter kunnen doen tijdens de kwalificatie.","Ez annyira dühít. Jobban is szerepelhettem volna az időmérőn.","Mam tego dość. Mogło mi pójść o wiele lepiej w kwalifikacjach.","Ужасно вышло. Я же мог выступить на квалификации гораздо лучше.","Conversation","AngryAboutQualifyingIntro",""
"Race Intro - Pre-Race Talk","AngryAboutQualifyingIntro","","AnyDriver","It's so annoying to be starting back here. Quali should have gone so much better.","PSG_10000159","","","","","","","Ça m'énerve de commencer si loin à l'arrière. Je m'attendais à un bien meilleur résultat aux qualifications.","Odio dover partire da qui. Le qualifiche dovevano andare meglio.","Es ärgert mich so, dass ich wieder von hier hinten starten muss. Die Quali hätte viel besser laufen müssen.","Cómo me cabrea empezar tan atrás. La ""cali"" debería habernos salido mucho mejor.","É tão irritante ter que largar aqui atrás. Classificatórias deveriam ter sido melhores.","Het is zo irritant om hier te moeten starten. De kwalificatie had veel beter moeten gaan.","Annyira bosszantó innen rajtolni. Sokkal jobban kellett volna mennie az időmérőnek.","Mam dość zaczynania od początku. Kwalifikacje mogły pójść o wiele lepiej.","Как обидно начинать с такой позиции. Надо было лучше выступить в квалификации.","Conversation","AngryAboutQualifyingIntro",""
"Race Intro - Pre-Race Talk","AngryAboutQualifyingOption1","","Player","That's your own fault.","PSG_10000153","","","","","","","Vous n'y êtes pour rien.","È colpa tua.","Das ist deine eigene Schuld.","Eso es culpa tuya.","Isso é culpa sua.","Dat is je eigen fout.","Ez csakis a te hibád. ","Nikt poza tobą nie zawinił.","Это уж ты виноват.","Conversation","AngryAboutQualifyingOption1",""
"Race Intro - Pre-Race Talk","AngryAboutQualifyingOption1","","Player","You really screwed up out there.","PSG_10000160","","","","","","","Vous n'avez vraiment pas été à la hauteur.","Hai fatto una pessima prestazione.","Du hast die Sache richtig verbockt.","La has fastidiado de verdad.","Você realmente estragou tudo.","Je hebt het daar echt verkloot.","Na, ezt igazán elcseszted odakint.","Przykro było na to patrzeć.","Да, облажался ты там знатно.","Conversation","AngryAboutQualifyingOption1",""
