"Sprite Reference","Continent","Type","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian",""
"Bangladesh","Asia","Country","HUDText","Bangladesh","PSG_10000896","","","","","","","Bangladesh","Bangladesh","Bangladesch","Bangladés","Bangladesh","Bangladesh","Banglades","Bangladesz","Бангладеш",""
"Barbados","North America","Country","HUDText","Barbados","PSG_10000897","","","","","","","Barbade","Barbados","Barbados","Barbados","Barbados","Barbados","Barbados","Barbados","Барбадос",""
"Belarus","Europe","Country","HUDText","Belarus","PSG_10000898","","","","","","","Biélorussie","Bielorussia","Weißrussland","Bielorrusia","Bielorrússia","Wit-Rusland","Belarusz Köztársaság","Białoruś","Беларусь",""
"Belgium","Europe","Country","HUDText","Belgium","PSG_10000899","","","","","","","Belgique","Belgio","Belgien","Bélgica","Bélgica","België","Belgium","Belgia","Бельгия",""
"Belize","North America","Country","HUDText","Belize","PSG_10000900","","","","","","","Belize","Belize","Belize","Belice","Belize","Belize","Belize","Belize","Белиз",""
"Benin","Africa","Country","HUDText","Benin","PSG_10000901","","","","","","","Bénin","Benin","Benin","Benín","Benin","Benin","Benin","Benin","Бенин",""
"Bhutan","Asia","Country","HUDText","Bhutan","PSG_10000902","","","","","","","Bhoutan","Bhutan","Bhutan","Bután","Butão","Bhutan","Bhután","Bhutan","Бутан",""
"Bolivia","South America","Country","HUDText","Bolivia","PSG_10000903","","","","","","","Bolivie","Bolivia","Bolivien","Bolivia","Bolívia","Bolivia","Bolívia","Boliwia","Боливия",""
"BosniaandHerzegovina","Europe","Country","HUDText","Bosnia and Herzegovina","PSG_10000904","","","","","","","Bosnie-Herzégovine","Bosnia ed Erzegovina","Bosnien und Herzegowina","Bosnia y Herzegovina","Bósnia e Herzegovina","Bosnië-Herzegovina","Bosznia-Hercegovina","Bośnia i Hercegowina","Босния и Герцеговина",""
"Botswana","Africa","Country","HUDText","Botswana","PSG_10000905","","","","","","","Botswana","Botswana","Botswana","Botsuana","Botsuana","Botswana","Botswana","Botswana","Ботсвана",""
"Brazil","South America","Country","HUDText","Brazil","PSG_10000906","","","","","","","Brésil","Brasile","Brasilien","Brasil","Brasil","Brazilië","Brazília","Brazylia","Бразилия",""
"Brunei","Asia","Country","HUDText","Brunei","PSG_10000907","","","","","","","Brunei","Brunei","Brunei","Brunéi","Brunei","Brunei","Brunei","Brunei","Бруней",""
"Bulgaria","Europe","Country","HUDText","Bulgaria","PSG_10000908","","","","","","","Bulgarie","Bulgaria","Bulgarien","Bulgaria","Bulgária","Bulgarije","Bulgária","Bułgaria","Болгария",""
"Burkina","Africa","Country","HUDText","Burkina","PSG_10000909","","","","","","","Burkina Faso","Burkina","Burkina","Burkina","Burkina","Burkina Faso","Burkina Faso","Burkina Faso","Буркина-Фасо",""
"Burma","Asia","Country","HUDText","Burma","PSG_10000910","","","","","","","Birmanie","Birmania","Burma","Birmania","Birmânia","Birma","Burma","Mjanma","Мьянма",""
"Burundi","Africa","Country","HUDText","Burundi","PSG_10000911","","","","","","","Burundi","Burundi","Burundi","Burundi","Burundi","Burundi","Burundi","Burundi","Бурунди",""
"Cambodia","Asia","Country","HUDText","Cambodia","PSG_10000915","","","","","","","Cambodge","Cambogia","Kambodscha","Camboya","Camboja","Cambodja","Kambodzsa","Kambodża","Камбоджа",""
"Cameroon","Africa","Country","HUDText","Cameroon","PSG_10000913","","","","","","","Cameroun","Camerun","Kamerun","Camerún","Camarões","Kameroen","Kamerun","Kamerun","Камерун",""
"Canada","North America","Country","HUDText","Canada","PSG_10000914","","","","","","","Canada","Canada","Kanada","Canadá","Canadá","Canada","Kanada","Kanada","Канада",""
"CapeVerde","Africa","Country","HUDText","Cape Verde","PSG_10000916","","","","","","","Cap-Vert","Capo Verde","Kap Verde","Cabo Verde","Cabo Verde","Kaapverdië","Zöld-foki Köztársaság","Republika Zielonego Przylądka","Кабо-Верде",""
"CaymanIslands","North America","Country","HUDText","Cayman Islands","PSG_10007601","","","","","","","Îles Caïmans","Isole Cayman","Kaimaninseln","Islas Caimán","Ilhas Cayman","Kaaimaneilanden","Kajmán-szigetek","Kajmany","Каймановы острова",""
"CentralAfricanRepublic","Africa","Country","HUDText","Central African Republic","PSG_10000917","","","","","","","République centrafricaine","Repubblica Centrafricana","Zentralafrikanische Republik","República Centroafricana","República da África Central","Centraal-Afrikaanse Republiek","Közép-Afrika","Republika Środkowoafrykańska","Центральноафриканская Республика",""
"Chad","Africa","Country","HUDText","Chad","PSG_10000918","","","","","","","Tchad","Ciad","Tschad","Chad","Chade","Tsjaad","Csád","Czad","Чад",""
"Chile","South America","Country","HUDText","Chile","PSG_10000919","","","","","","","Chili","Cile","Chile","Chile","Chile","Chili","Chile","Chile","Чили",""
"China","Asia","Country","HUDText","China","PSG_10000920","","","","","","","Chine","Cina","China","China","China","China","Kína","Chiny","Китай",""
"Colombia","South America","Country","HUDText","Colombia","PSG_10000921","","","","","","","Colombie","Colombia","Kolumbien","Colombia","Colômbia","Colombia","Kolumbia","Kolumbia","Колумбия",""
"Comoros","Africa","Country","HUDText","Comoros","PSG_10000922","","","","","","","Comores","Comore","Komoren","Comoras","Comores","Comoren","Comore-szigetek","Komory","Коморские острова",""
"Congo","Africa","Country","HUDText","Congo","PSG_10000923","","","","","","","Congo","Congo","Kongo","Congo","Congo","Congo","Kongói Köztársaság","Kongo","Конго",""
"CongoDemocraticRepublicof","Africa","Country","HUDText","Congo, Democratic Republic of","PSG_10000924","","","","","","","République démocratique du Congo","Repubblica Democratica del Congo","Demokratische Republik Kongo","República Democrática del Congo","Congo, República Democrática do","Congo, Democratische Republiek","Kongói Demokratikus Köztársaság","Demokratyczna Republika Konga","Демократическая Республика Конго",""
"CostaRica","North America","Country","HUDText","Costa Rica","PSG_10000925","","","","","","","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Costa Rica","Kostaryka","Коста-Рика",""
"Croatia","Europe","Country","HUDText","Croatia","PSG_10000926","","","","","","","Croatie","Croazia","Kroatien","Croacia","Croácia","Kroatië","Horvátország","Chorwacja","Хорватия",""
"Cuba","North America","Country","HUDText","Cuba","PSG_10000927","","","","","","","Cuba","Cuba","Kuba","Cuba","Cuba","Cuba","Kuba","Kuba","Куба",""
"Cyprus","Europe","Country","HUDText","Cyprus","PSG_10000928","","","","","","","Chypre","Cipro","Zypern","Chipre","Chipre","Cyprus","Ciprus","Cypr","Кипр",""
"CzechRepublic","Europe","Country","HUDText","Czech Republic","PSG_10000929","","","","","","","République tchèque","Repubblica Ceca","Tschechien","República Checa","República Tcheca","Tsjechische Republiek","Cseh Köztársaság","Czechy","Чешская Республика",""
"Denmark","Europe","Country","HUDText","Denmark","PSG_10000932","","","","","","","Danemark","Danimarca","Dänemark","Dinamarca","Dinamarca","Denemarken","Dánia","Dania","Дания",""
"Djibouti","Africa","Country","HUDText","Djibouti","PSG_10000930","","","","","","","Djibouti","Gibuti","Dschibuti","Yibuti","Djibuti","Djibouti","Dzsibuti","Dżibuti","Джибути",""
"Dominica","North America","Country","HUDText","Dominica","PSG_10000931","","","","","","","Dominique","Dominica","Dominica","Dominica","Dominica","Dominica","Dominikai Közösség","Dominika","Доминика",""
"DominicanRepublic","North America","Country","HUDText","Dominican Republic","PSG_10000933","","","","","","","République dominicaine","Repubblica Dominicana","Dominikanische Republik","República Dominicana","República Dominicana","Dominicaanse Republiek","Dominikai Köztársaság","Dominikana","Доминиканская Республика",""
"EastTimor","Asia","Country","HUDText","East Timor","PSG_10000934","","","","","","","Timor oriental","Timor Est","Osttimor","Timor Oriental","Timor-Leste","Oost-Timor","Kelet-Timor","Timor Wschodni","Восточный Тимор",""
"Ecuador","South America","Country","HUDText","Ecuador","PSG_10000935","","","","","","","Équateur","Ecuador","Ecuador","Ecuador","Equador","Ecuador","Ecuador","Ekwador","Эквадор",""
"Egypt","Africa","Country","HUDText","Egypt","PSG_10000936","","","","","","","Égypte","Egitto","Ägypten","Egipto","Egito","Egypte","Egyiptom","Egipt","Египет",""
"ElSalvador","North America","Country","HUDText","El Salvador","PSG_10000937","","","","","","","Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","El Salvador","Salwador","Сальвадор",""
"EquatorialGuinea","Africa","Country","HUDText","Equatorial Guinea","PSG_10000938","","","","","","","Guinée équatoriale","Guinea Equatoriale","Äquatorialguinea","Guinea Ecuatorial","Guiné Equatorial","Equatoriaal Guinee","Egyenlítői-Guinea","Gwinea Równikowa","Экваториальная Гвинея",""
"Eritrea","Africa","Country","HUDText","Eritrea","PSG_10000939","","","","","","","Érythrée","Eritrea","Eritrea","Eritrea","Eritreia","Eritrea","Eritrea","Erytrea","Эритрея",""
"Estonia","Europe","Country","HUDText","Estonia","PSG_10000940","","","","","","","Estonie","Estonia","Estland","Estonia","Estônia","Estland","Észtország","Estonia","Эстония",""
"Ethiopia","Africa","Country","HUDText","Ethiopia","PSG_10000941","","","","","","","Éthiopie","Etiopia","Äthiopien","Etiopía","Etiópia","Ethiopië","Etiópia","Etiopia","Эфиопия",""
"FaroeIslands","Europe","Country","HUDText","Faroe Islands","PSG_10007602","","","","","","","Îles Féroé","Isole Faroe","Färöer-Inseln","Islas Feroe","Ilhas Féroe","Faroe Islands","Feröer-szigetek","Wyspy Owcze","Фарерские острова",""
"Fiji","Oceania","Country","HUDText","Fiji","PSG_10000942","","","","","","","Fidji","Fiji","Fidschi","Fiyi","Fiji","Fiji","Fidzsi-szigetek","Fidżi","Фиджи",""
"Finland","Europe","Country","HUDText","Finland","PSG_10000943","","","","","","","Finlande","Finlandia","Finnland","Finlandia","Finlândia","Finland","Finnország","Finlandia","Финляндия",""
"France","Europe","Country","HUDText","France","PSG_10000944","","","","","","","France","Francia","Frankreich","Francia","França","Frankrijk","Franciaország","Francja","Франция",""
"FrenchGuiana","South America","Country","HUDText","French Guiana","PSG_10007603","","","","","","","Guyane","Guiana francese","Französisch-Guayana","Guayana francesa","Guiana Francesa","Frans-Guyana","Francia Guyana","Gujana Francuska","Французская Гвиана",""
"Gabon","Africa","Country","HUDText","Gabon","PSG_10000945","","","","","","","Gabon","Gabon","Gabun","Gabón","Gabão","Gabon","Gabon","Gabon","Габон",""
"Gambia","Africa","Country","HUDText","Gambia","PSG_10000946","","","","","","","Gambie","Gambia","Gambia","Gambia","Gâmbia","Gambia","Gambia","Gambia","Гамбия",""
"Georgia","Europe","Country","HUDText","Georgia","PSG_10000947","","","","","","","Géorgie","Georgia","Georgien","Georgia","Geórgia","Georgië","Grúzia","Gruzja","Грузия",""
"Germany","Europe","Country","HUDText","Germany","PSG_10000948","","","","","","","Allemagne","Germania","Deutschland","Alemania","Alemanha","Duitsland","Németország","Niemcy","Германия",""
"Ghana","Africa","Country","HUDText","Ghana","PSG_10000949","","","","","","","Ghana","Ghana","Ghana","Ghana","Gana","Ghana","Ghána","Ghana","Гана",""
"Greece","Europe","Country","HUDText","Greece","PSG_10000950","","","","","","","Grèce","Grecia","Griechenland","Grecia","Grécia","Griekenland","Görögország","Grecja","Греция",""
"Grenada","North America","Country","HUDText","Grenada","PSG_10000951","","","","","","","Grenade","Grenada","Grenada","Granada","Granada","Grenada","Grenada","Grenada","Гренада",""
"Guam","Oceania","Country","HUDText","Guam","PSG_10007865","","","","","","","Guam","Guam","Guam","Guam","Guam","Guam","Guam","Guam","Гуам",""
"Guatemala","North America","Country","HUDText","Guatemala","PSG_10000952","","","","","","","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Guatemala","Gwatemala","Гватемала",""
"Guinea","Africa","Country","HUDText","Guinea","PSG_10000953","","","","","","","Guinée","Guinea","Guinea","Guinea","Guiné","Guinee","Guinea","Gwinea","Гвинея",""
"GuineaBissau","Africa","Country","HUDText","Guinea-Bissau","PSG_10000954","","","","","","","Guinée-Bissau","Guinea-Bissau","Guinea-Bissau","Guinea-Bissau","Guiné-Bissau","Guinee-Bissau","Bissau-Guinea","Gwinea Bissau","Гвинея-Бисау",""
"Guyana","South America","Country","HUDText","Guyana","PSG_10000955","","","","","","","Guyana","Guyana","Guyana","Guyana","Guiana","Guyana","Guyana","Gujana","Гайана",""
"Haiti","North America","Country","HUDText","Haiti","PSG_10000956","","","","","","","Haïti","Haiti","Haiti","Haití","Haiti","Haïti","Haiti","Haiti","Гаити",""
"Honduras","North America","Country","HUDText","Honduras","PSG_10000957","","","","","","","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Honduras","Гондурас",""
"HongKong","Asia","Country","HUDText","Hong Kong","PSG_10007604","","","","","","","Hong Kong","Hong Kong","Hongkong","Hong Kong","Hong Kong","Hongkong","Hongkong","Hongkong","Гонконг",""
"Hungary","Europe","Country","HUDText","Hungary","PSG_10000958","","","","","","","Hongrie","Ungheria","Ungarn","Hungría","Hungria","Hongarije","Magyarország","Węgry","Венгрия",""
"Iceland","Europe","Country","HUDText","Iceland","PSG_10000959","","","","","","","Islande","Islanda","Island","Islandia","Islândia","IJsland","Izland","Islandia","Исландия",""
"India","Asia","Country","HUDText","India","PSG_10000960","","","","","","","Inde","India","Indien","India","Índia","India","India","Indie","Индия",""
"Indonesia","Asia","Country","HUDText","Indonesia","PSG_10000961","","","","","","","Indonésie","Indonesia","Indonesien","Indonesia","Indonésia","Indonesië","Indonézia","Indonezja","Индонезия",""
"Iran","Asia","Country","HUDText","Iran","PSG_10000962","","","","","","","Iran","Iran","Iran","Irán","Irã","Iran","Irán","Iran","Иран",""
"Iraq","Asia","Country","HUDText","Iraq","PSG_10000963","","","","","","","Irak","Iraq","Irak","Iraq","Iraque","Irak","Irak","Irak","Ирак",""
"Ireland","Europe","Country","HUDText","Ireland","PSG_10000964","","","","","","","Irlande","Irlanda","Irland","Irlanda","Irlanda","Ierland","Írország","Irlandia","Ирландия",""
"Israel","Asia","Country","HUDText","Israel","PSG_10000965","","","","","","","Israël","Israele","Israel","Israel","Israel","Israël","Izrael","Izrael","Израиль",""
"Italy","Europe","Country","HUDText","Italy","PSG_10000966","","","","","","","Italie","Italia","Italien","Italia","Itália","Italië","Olaszország","Włochy","Италия",""
"IvoryCoast","Africa","Country","HUDText","Ivory Coast","PSG_10000967","","","","","","","Côte d'Ivoire","Costa d'Avorio","Elfenbeinküste","Costa de Marfil","Costa do Marfim","Ivoorkust","Elefántcsontpart","Wybrzeże Kości Słoniowej","Кот д’Ивуар",""
"Jamaica","North America","Country","HUDText","Jamaica","PSG_10000968","","","","","","","Jamaïque","Giamaica","Jamaika","Jamaica","Jamaica","Jamaica","Jamaica","Jamajka","Ямайка",""
"Japan","Asia","Country","HUDText","Japan","PSG_10000969","","","","","","","Japon","Giappone","Japan","Japón","Japão","Japan","Japán","Japonia","Япония",""
"Jordan","Asia","Country","HUDText","Jordan","PSG_10000971","","","","","","","Jordanie","Giordania","Jordanien","Jordania","Jordânia","Jordanië","Jordánia","Jordania","Иордания",""
"Kazakhstan","Asia","Country","HUDText","Kazakhstan","PSG_10000972","","","","","","","Kazakhstan","Kazakistan","Kasachstan","Kazajistán","Cazaquistão","Kazachstan","Kazahsztán","Kazachstan","Казахстан",""
"Kenya","Africa","Country","HUDText","Kenya","PSG_10000973","","","","","","","Kenya","Kenya","Kenia","Kenia","Quênia","Kenia","Kenya","Kenia","Кения",""
"Kiribati","Oceania","Country","HUDText","Kiribati","PSG_10000974","","","","","","","Kiribati","Kiribati","Kiribati","Kiribati","Quiribáti","Kiribati","Kiribati","Kiribati","Кирибати",""
"Kuwait","Asia","Country","HUDText","Kuwait","PSG_10000975","","","","","","","Koweït","Kuwait","Kuwait","Kuwait","Kuwait","Koeweit","Kuvait","Kuwejt","Кувейт",""
"Kyrgyzstan","Asia","Country","HUDText","Kyrgyzstan","PSG_10000976","","","","","","","Kirghizistan","Kirghizistan","Kirgisien","Kirguistán","Quirguistão","Kirgizië","Kirgizisztán","Kirgistan","Кыргызстан",""
"Laos","Asia","Country","HUDText","Laos","PSG_10000977","","","","","","","Laos","Laos","Laos","Laos","Laos","Laos","Laosz","Laos","Лаос",""
"Latvia","Europe","Country","HUDText","Latvia","PSG_10000978","","","","","","","Lettonie","Lettonia","Lettland","Letonia","Letônia","Letland","Lettország","Łotwa","Латвия",""
"Lebanon","Asia","Country","HUDText","Lebanon","PSG_10000979","","","","","","","Liban","Libano","Libanon","Líbano","Líbano","Libanon","Libanon","Liban","Ливан",""
"Lesotho","Africa","Country","HUDText","Lesotho","PSG_10000980","","","","","","","Lesotho","Lesotho","Lesotho","Lesoto","Lesoto","Lesotho","Lesotho","Lesotho","Лесото",""
"Liberia","Africa","Country","HUDText","Liberia","PSG_10000981","","","","","","","Liberia","Liberia","Liberia","Liberia","Libéria","Liberia","Libéria","Liberia","Либерия",""
"Libya","Africa","Country","HUDText","Libya","PSG_10000982","","","","","","","Libye","Libia","Libyen","Libia","Líbia","Libië","Líbia","Libia","Ливия",""
"Liechtenstein","Europe","Country","HUDText","Liechtenstein","PSG_10000983","","","","","","","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein","Лихтенштейн",""
"Lithuania","Europe","Country","HUDText","Lithuania","PSG_10000984","","","","","","","Lituanie","Lituania","Litauen","Lituania","Lituânia","Litouwen","Litvánia","Litwa","Литва",""
"Luxembourg","Europe","Country","HUDText","Luxembourg","PSG_10000985","","","","","","","Luxembourg","Lussemburgo","Luxemburg","Luxemburgo","Luxemburgo","Luxemburg","Luxemburg","Luksemburg","Люксембург",""
"Macedonia","Europe","Country","HUDText","Macedonia","PSG_10000986","","","","","","","Macédoine","Macedonia","Mazedonien","Macedonia","Macedônia","Macedonië","Macedónia","Macedonia","Македония",""
"Madagascar","Africa","Country","HUDText","Madagascar","PSG_10000987","","","","","","","Madagascar","Madagascar","Madagaskar","Madagascar","Madagascar","Madagaskar","Madagaszkár","Madagaskar","Мадагаскар",""
"Malawi","Africa","Country","HUDText","Malawi","PSG_10000988","","","","","","","Malawi","Malawi","Malawi","Malaui","Maláui","Malawi","Malawi","Malawi","Малави",""
"Malaysia","Asia","Country","HUDText","Malaysia","PSG_10000989","","","","","","","Malaisie","Malesia","Malaysia","Malasia","Malásia","Maleisië","Malajzia","Malezja","Малайзия",""
"Maldives","Asia","Country","HUDText","Maldives","PSG_10000990","","","","","","","Maldives","Maldive","Malediven","Maldivas","Maldivas","Malediven","Maldív-szigetek","Malediwy","Мальдивы",""
"Mali","Africa","Country","HUDText","Mali","PSG_10000991","","","","","","","Mali","Mali","Mali","Mali","Mali","Mali","Mali","Mali","Мали",""
"Malta","Europe","Country","HUDText","Malta","PSG_10000992","","","","","","","Malte","Malta","Malta","Malta","Malta","Malta","Málta","Malta","Мальта",""
"MarshallIslands","Oceania","Country","HUDText","Marshall Islands","PSG_10000993","","","","","","","Îles Marshall","Isole Marshall","Marshallinseln","Islas Marshall","Ilhas Marshall","Marshalleilanden","Marshall-szigetek","Wyspy Marshalla","Маршалловы острова",""
"Mauritania","Africa","Country","HUDText","Mauritania","PSG_10000994","","","","","","","Mauritanie","Mauritania","Mauretanien","Mauritania","Mauritânia","Mauritanië","Mauritánia","Mauretania","Мавритания",""
"Mauritius","Africa","Country","HUDText","Mauritius","PSG_10000995","","","","","","","Maurice","Mauritius","Mauritius","Mauricio","Maurício","Mauritius","Mauritius","Mauritius","Маврикий",""
"Mexico","North America","Country","HUDText","Mexico","PSG_10000996","","","","","","","Mexique","Messico","Mexiko","México","México","Mexico","Mexikó","Meksyk","Мексика",""
"Micronesia","Oceania","Country","HUDText","Micronesia","PSG_10000997","","","","","","","Micronésie","Micronesia","Mikronesien","Micronesia","Micronésia","Micronesië","Mikronézia","Mikronezja","Микронезия",""
"Moldova","Europe","Country","HUDText","Moldova","PSG_10000998","","","","","","","Moldavie","Moldavia","Moldawien","Moldavia","Moldávia","Moldavië","Moldova","Mołdawia","Молдова",""
"Monaco","Europe","Country","HUDText","Monaco","PSG_10000999","","","","","","","Monaco","Monaco","Monaco","Mónaco","Mônaco","Monaco","Monaco","Monako","Монако",""
"Mongolia","Asia","Country","HUDText","Mongolia","PSG_10001000","","","","","","","Mongolie","Mongolia","Mongolei","Mongolia","Mongólia","Mongolië","Mongólia","Mongolia","Монголия",""
"Montenegro","Europe","Country","HUDText","Montenegro","PSG_10001001","","","","","","","Monténégro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegro","Montenegró","Czarnogóra","Черногория",""
"Montserrat","North America","Country","HUDText","Montserrat","PSG_10007866","","","","","","","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Montserrat","Монтсеррат",""
"Morocco","Africa","Country","HUDText","Morocco","PSG_10001002","","","","","","","Maroc","Marocco","Marokko","Marruecos","Marrocos","Marokko","Marokkó","Maroko","Марокко",""
"Mozambique","Africa","Country","HUDText","Mozambique","PSG_10001003","","","","","","","Mozambique","Mozambico","Mosambik","Mozambique","Moçambique","Mozambique","Mozambik","Mozambik","Мозамбик",""
"Namibia","Africa","Country","HUDText","Namibia","PSG_10001004","","","","","","","Namibie","Namibia","Namibia","Namibia","Namíbia","Namibië","Namíbia","Namibia","Намибия",""
"Nauru","Oceania","Country","HUDText","Nauru","PSG_10001005","","","","","","","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Nauru","Науру",""
"Nepal","Asia","Country","HUDText","Nepal","PSG_10001006","","","","","","","Népal","Nepal","Nepal","Nepal","Nepal","Nepal","Nepál","Nepal","Непал",""
"Netherlands","Europe","Country","HUDText","Netherlands","PSG_10001007","","","","","","","Pays-Bas","Paesi Bassi","Niederlande","Países Bajos","Países Baixos","Nederland","Hollandia","Holandia","Нидерланды",""
"NewCaledonia","Oceania","Country","HUDText","New Caledonia","PSG_10007605","","","","","","","Nouvelle-Calédonie","Nuova Caledonia","Neukaledonien","Nueva Caledonia","Nova Caledônia","Nieuw-Caledonië","Új-Kaledónia","Nowa Kaledonia","Новая Каледония",""
"NewZealand","Oceania","Country","HUDText","New Zealand","PSG_10001008","","","","","","","Nouvelle-Zélande","Nuova Zelanda","Neuseeland","Nueva Zelanda","Nova Zelândia","Nieuw-Zeeland","Új-Zéland","Nowa Zelandia","Новая Зеландия",""
"Nicaragua","North America","Country","HUDText","Nicaragua","PSG_10001009","","","","","","","Nicaragua","Nicaragua","Nicaragua","Nicaragua","Nicarágua","Nicaragua","Nicaragua","Nikaragua","Никарагуа",""
"Niger","Africa","Country","HUDText","Niger","PSG_10001010","","","","","","","Niger","Niger","Niger","Níger","Níger","Niger","Niger","Niger","Нигер",""
"Nigeria","Africa","Country","HUDText","Nigeria","PSG_10001011","","","","","","","Nigeria","Nigeria","Nigeria","Nigeria","Nigéria","Nigeria","Nigéria","Nigeria","Нигерия",""
"NorthernMariana","Oceania","Country","HUDText","Northern Mariana","PSG_10007606","","","","","","","Îles Mariannes du Nord","Marianne settentrionali","Nördliche Marianen","Islas Marianas del Norte","Marianas do Norte","Noordelijke Marianen","Északi-Mariana-szigetek","Mariany Północne","Северные Марианские острова",""
"NorthKorea","Asia","Country","HUDText","North Korea","PSG_10001012","","","","","","","Corée du Nord","Corea del Nord","Nordkorea","Corea del Norte","Coreia do Norte","Noord-Korea","Észak-Korea","Korea Północna","КНДР",""
"Norway","Europe","Country","HUDText","Norway","PSG_10001013","","","","","","","Norvège","Norvegia","Norwegen","Noruega","Noruega","Noorwegen","Norvégia","Norwegia","Норвегия",""
"Oman","Asia","Country","HUDText","Oman","PSG_10001014","","","","","","","Oman","Oman","Oman","Omán","Omã","Oman","Omán","Oman","Оман",""
"Pakistan","Asia","Country","HUDText","Pakistan","PSG_10001015","","","","","","","Pakistan","Pakistan","Pakistan","Pakistán","Paquistão","Pakistan","Pakisztán","Pakistan","Пакистан",""
"Palau","Oceania","Country","HUDText","Palau","PSG_10001016","","","","","","","Palaos","Palau","Palau","Palaos","Palau","Palau","Palau","Palau","Палау",""
"Panama","North America","Country","HUDText","Panama","PSG_10001017","","","","","","","Panama","Panama","Panama","Panamá","Panamá","Panama","Panama","Panama","Панама",""
"PapuaNewGuinea","Oceania","Country","HUDText","Papua New Guinea","PSG_10001018","","","","","","","Papouasie-Nouvelle-Guinée","Papua Nuova Guinea","Papua-Neuguinea","Papúa Nueva Guinea","Papua Nova Guiné","Papoea-Nieuw-Guinea","Pápua Új-Guinea","Papua-Nowa Gwinea","Папуа - Новая Гвинея",""
"Paraguay","South America","Country","HUDText","Paraguay","PSG_10001019","","","","","","","Paraguay","Paraguay","Paraguay","Paraguay","Paraguai","Paraguay","Paraguay","Paragwaj","Парагвай",""
"Peru","South America","Country","HUDText","Peru","PSG_10001020","","","","","","","Pérou","Perù","Peru","Perú","Peru","Peru","Peru","Peru","Перу",""
"Philippines","Asia","Country","HUDText","Philippines","PSG_10001021","","","","","","","Philippines","Filippine","Philippinen","Filipinas","Filipinas","Filipijnen","Fülöp-szigetek","Filipiny","Филиппины",""
